Pair,Colex_freq_group,Associativity,Familiarity,Concreteness
"('BODY', 'HEAD')",0,0.0275,610.5,35.0
"('LIFE', 'TIME')",0,0.0155,601.0,18.0
"('BITTER', 'COLD')",0,0.0505,576.0,48.0
"('STRING', 'TIE')",0,0.0195,562.5,2.0
"('HORSE', 'MEAT')",0,0.006,574.5,26.0
"('SIDE', 'STOMACH')",0,0.007,556.5,223.0
"('GUARD', 'SHIELD')",0,0.0205,484.0,59.0
"('BUSH', 'TREE')",0,0.21450000000000002,572.5,19.0
"('BALL', 'THROW')",0,0.1525,561.5,215.0
"('CRIME', 'PUNISHMENT')",0,0.1175,526.0,29.0
"('ARM', 'LEG')",0,0.5880000000000001,598.5,34.0
"('SKIN', 'WHITE')",0,0.0065,590.5,142.0
"('WHERE', 'WHY')",0,0.02,598.5,11.0
"('MOUTH', 'SPEECH')",0,0.0065,560.5,115.0
"('BOOT', 'LEG')",0,0.0205,577.5,31.0
"('BAY', 'SHORE')",0,0.0135,502.5,6.0
"('HOT', 'THIRSTY')",0,0.007,604.5,56.0
"('DEEP', 'VALLEY')",0,0.02,528.5,175.0
"('LONG', 'TAIL')",0,0.007,556.0,232.0
"('BLUE', 'WHITE')",0,0.007,591.5,13.0
"('SOUTH', 'WEST')",0,0.027,551.5,8.0
