Pair,Colex_freq_group,Associativity,Familiarity,Concreteness
"('MOON', 'SUN')",1,0.22449999999999998,610.0,36.0
"('COUNTRY', 'LAND')",1,0.0305,583.0,139.0
"('CATTLE', 'SHEEP')",1,0.0235,509.0,22.0
"('BUD', 'FLOWER')",1,0.0755,515.5,35.0
"('CUT', 'SCRATCH')",1,0.035,567.0,93.0
"('CUT', 'SPLIT')",1,0.0325,547.5,13.0
"('AIR', 'SKY')",1,0.032,607.5,24.0
"('EYE', 'I')",1,0.02,619.5,151.0
"('SOME', 'THING')",1,0.0215,582.5,64.0
"('EMBRACE', 'KISS')",1,0.0135,512.5,115.0
"('HOME', 'TOWN')",1,0.011,607.5,17.0
"('BE', 'LIVE')",1,0.0055,610.5,211.0
"('BODY', 'FLESH')",1,0.008,546.5,29.0
"('LONG', 'SNAKE')",1,0.012,540.0,240.0
"('FIRST', 'ONE')",1,0.0135,601.5,68.0
"('LEAF', 'TOBACCO')",1,0.005,557.0,16.0
"('FORK', 'SPOON')",1,0.5275,598.0,22.0
"('FOREST', 'WOOD')",1,0.015,543.5,3.0
"('LOOK', 'WATCH')",1,0.08,591.5,111.0
"('BLUE', 'SKY')",1,0.403,600.0,83.0
"('CIRCLE', 'ROUND')",1,0.198,572.0,77.0
"('POST', 'WOOD')",1,0.01,580.0,73.0
"('BOW', 'HAIR')",1,0.0205,532.0,11.0
"('BAD', 'WRONG')",1,0.0205,596.0,5.0
"('SUMMER', 'SUN')",1,0.0605,623.5,178.0
"('BUNCH', 'CROWD')",1,0.024,513.0,94.0
"('BODY', 'SKIN')",1,0.0235,600.5,46.0
"('STORM', 'WIND')",1,0.0845,573.5,25.0
"('OAK', 'PINE')",1,0.0065,536.0,4.0
"('KEEP', 'TAKE')",1,0.063,569.5,7.0
"('CLOCK', 'HOUR')",1,0.0105,608.0,216.0
"('FROST', 'SNOW')",1,0.1275,580.5,10.0
"('ONE', 'OTHER')",1,0.015,597.0,104.0
"('KILL', 'SHOOT')",1,0.153,542.5,59.0
"('COLD', 'FROST')",1,0.185,586.0,151.0
"('CATERPILLAR', 'INSECT')",1,0.0305,499.5,7.0
"('AFTERNOON', 'LATE')",1,0.007,619.5,144.0
"('CHOOSE', 'TAKE')",1,0.014,544.5,24.0
"('HONEY', 'SWEET')",1,0.2255,551.5,148.0
"('CLOTHES', 'COVER')",1,0.0165,624.5,98.0
"('ANKLE', 'KNEE')",1,0.038,571.0,15.0
"('AGE', 'YEAR')",1,0.051,591.5,26.0
"('LAUGH', 'SMILE')",1,0.0985,594.0,81.0
"('LEFT', 'SIDE')",1,0.011,579.0,53.0
"('LONG', 'WIDE')",1,0.038,574.0,33.0
"('CLOTHES', 'SHIRT')",1,0.0625,632.0,16.0
"('BELT', 'WAIST')",1,0.086,545.0,39.0
"('HEAR', 'SEE')",1,0.1225,613.5,42.0
"('MOUTH', 'TOOTH')",1,0.0255,575.0,51.0
"('CHILD', 'PERSON')",1,0.007,602.5,19.0
"('ALL', 'MANY')",1,0.061,590.5,9.0
"('GOLD', 'MONEY')",1,0.051,590.5,2.0
"('GREEN', 'RED')",1,0.029500000000000002,595.0,41.0
"('COPPER', 'STEEL')",1,0.007,522.0,39.0
"('LIGHTNING', 'THUNDER')",1,0.586,506.0,22.0
"('HEAD', 'MASTER')",1,0.013,553.0,105.0
"('EAT', 'SWALLOW')",1,0.079,530.0,61.0
"('SUN', 'WEATHER')",1,0.0395,629.0,178.0
"('DO', 'MAKE')",1,0.10550000000000001,613.5,23.0
"('FOREST', 'TREE')",1,0.331,563.0,5.0
"('STORM', 'WEATHER')",1,0.046,589.0,88.0
"('BEVERAGE', 'WATER')",1,0.0105,634.5,67.0
"('BODY', 'BONE')",1,0.01,575.5,20.0
"('BOWL', 'SAUCER')",1,0.020499999999999997,545.0,31.0
"('FIRE', 'HELL')",1,0.1105,572.0,240.0
"('ROLL', 'WHEEL')",1,0.007,556.5,116.0
"('PAN', 'POT')",1,0.3185,571.5,2.0
"('GET', 'WANT')",1,0.0665,605.0,12.0
"('CLAY', 'SAND')",1,0.0075,487.0,10.0
"('BECAUSE', 'CAUSE')",1,0.0085,580.5,91.0
"('CLOUD', 'THUNDER')",1,0.006,550.0,7.0
"('FATHER', 'MAN')",1,0.024,607.0,24.0
"('ACHE', 'PAIN')",1,0.26,546.0,17.0
"('EVENING', 'LATE')",1,0.0135,607.0,177.0
"('HONEY', 'SUGAR')",1,0.013,570.5,9.0
"('BLOOD', 'RED')",1,0.192,589.0,112.0
"('DIRT', 'SPOT')",1,0.045,565.5,52.0
"('BOUNDARY', 'COUNTRY')",1,0.0165,536.5,54.0
"('DOG', 'SHEEP')",1,0.017,552.5,12.0
"('STEAL', 'THIEF')",1,0.2385,545.5,156.0
"('FEW', 'SOME')",1,0.0925,585.5,23.0
"('CUP', 'SAUCER')",1,0.47250000000000003,564.0,67.0
"('FACE', 'MOUTH')",1,0.011,592.0,31.0
"('HAVE', 'OWN')",1,0.20550000000000002,597.5,66.0
"('CAT', 'DOG')",1,0.5900000000000001,590.0,5.0
"('BLACK', 'DARK')",1,0.10550000000000001,600.5,27.0
"('DIRT', 'MUD')",1,0.4375,545.0,41.0
"('BUILD', 'MAKE')",1,0.0695,586.0,103.0
"('PEOPLE', 'TOWN')",1,0.011,608.5,16.0
"('STICK', 'TREE')",1,0.014,570.5,0.0
"('FOOD', 'MEAL')",1,0.2525,591.0,5.0
"('BODY', 'SOUL')",1,0.034,577.0,279.0
"('LENGTH', 'LONG')",1,0.1285,585.0,16.0
"('BOWL', 'PLATE')",1,0.046,556.5,20.0
"('CLOTHES', 'COAT')",1,0.007,631.0,1.0
"('CANDY', 'SWEET')",1,0.249,564.5,139.0
"('ARMY', 'GUARD')",1,0.009,529.5,26.0
"('CONE', 'PINE')",1,0.0135,531.5,19.0
"('BANANA', 'YELLOW')",1,0.08299999999999999,565.5,96.0
"('CHEW', 'GRIND')",1,0.0065,528.0,1.0
"('DENSE', 'THICK')",1,0.118,548.5,33.0
"('TORTOISE', 'TURTLE')",1,0.274,462.0,42.0
"('HUNT', 'SHOOT')",1,0.0215,529.5,29.0
"('BEGGAR', 'POOR')",1,0.1725,491.5,222.0
"('SPEAK', 'TELL')",1,0.0555,598.0,113.0
"('BOWL', 'CUP')",1,0.057499999999999996,576.0,36.0
"('I', 'SELF')",1,0.034,616.0,24.0
"('BRAIN', 'HEAD')",1,0.18000000000000002,595.5,47.0
"('FISH', 'SHARK')",1,0.0795,532.0,14.0
"('BRAVE', 'DARE')",1,0.025,527.0,8.0
"('HEART', 'SOUL')",1,0.071,561.0,316.0
"('EAT', 'LUNCH')",1,0.0415,572.5,66.0
"('SIT', 'STAND')",1,0.441,572.5,13.0
"('TREE', 'WOOD')",1,0.0725,593.5,2.0
"('NEVER', 'NOT')",1,0.01,568.5,14.0
"('BIRD', 'SONG')",1,0.020999999999999998,597.5,88.0
"('CURE', 'MEDICINE')",1,0.0625,536.5,165.0
"('CLOUD', 'HEAVEN')",1,0.025,544.5,249.0
"('HAPPY', 'PROUD')",1,0.091,595.5,28.0
"('HEAVY', 'WEIGHT')",1,0.147,579.5,49.0
"('HEART', 'LIFE')",1,0.024,588.0,244.0
"('FISH', 'RIVER')",1,0.008,556.5,12.0
"('LUNG', 'RIB')",1,0.0135,541.0,30.0
"('CAPE', 'ISLAND')",1,0.0065,514.0,15.0
"('FENCE', 'YARD')",1,0.102,524.0,44.0
"('BLUE', 'GREEN')",1,0.1265,588.0,1.0
"('BIRD', 'CHICKEN')",1,0.0135,568.0,12.0
"('PERSON', 'THING')",1,0.0105,603.5,212.0
"('CHICKEN', 'HEN')",1,0.23750000000000002,502.5,17.0
"('BEER', 'WINE')",1,0.138,587.0,34.0
"('BEE', 'HONEY')",1,0.22749999999999998,543.5,14.0
"('DISEASE', 'SICK')",1,0.132,575.5,100.0
"('BONE', 'LEG')",1,0.02,565.0,38.0
"('DISEASE', 'PAIN')",1,0.007,574.5,78.0
"('CATTLE', 'COW')",1,0.2195,520.0,21.0
"('RAW', 'RED')",1,0.034,558.0,102.0
"('FIVE', 'HAND')",1,0.023,577.0,239.0
"('FIGHT', 'KILL')",1,0.017,555.0,69.0
"('CORPSE', 'DEAD')",1,0.2685,493.5,158.0
"('BODY', 'STOMACH')",1,0.014,578.5,49.0
"('DARK', 'HEAVY')",1,0.007,589.5,84.0
